x,y,z,36,broad_category
85.0,58.0,87.0,../datasets/Driving/Dataset driving 2.csv,Driving
52.0,55.0,55.0,../datasets/Driving/Dataset driving 2.csv,Driving
60.0,36.0,62.0,../datasets/Driving/Dataset driving 2.csv,Driving
106.0,55.0,73.0,../datasets/Driving/Dataset driving 2.csv,Driving
87.0,69.0,66.0,../datasets/Driving/Dataset driving 2.csv,Driving
73.0,68.0,90.0,../datasets/Driving/Dataset driving 2.csv,Driving
53.0,53.0,89.0,../datasets/Driving/Dataset driving 2.csv,Driving
104.0,71.0,142.0,../datasets/Driving/Dataset driving 2.csv,Driving
50.0,65.0,83.0,../datasets/Driving/Dataset driving 2.csv,Driving
42.0,34.0,56.0,../datasets/Driving/Dataset driving 2.csv,Driving
66.0,30.0,130.0,../datasets/Driving/Dataset driving 2.csv,Driving
94.0,66.0,73.0,../datasets/Driving/Dataset driving 2.csv,Driving
61.0,40.0,114.0,../datasets/Driving/Dataset driving 2.csv,Driving
142.0,102.0,145.0,../datasets/Driving/Dataset driving 2.csv,Driving
94.0,101.0,128.0,../datasets/Driving/Dataset driving 2.csv,Driving
52.0,43.0,133.0,../datasets/Driving/Dataset driving 2.csv,Driving
35.0,47.0,49.0,../datasets/Driving/Dataset driving 2.csv,Driving
51.0,44.0,77.0,../datasets/Driving/Dataset driving 2.csv,Driving
80.0,22.0,98.0,../datasets/Driving/Dataset driving 2.csv,Driving
80.0,28.0,128.0,../datasets/Driving/Dataset driving 2.csv,Driving
42.0,58.0,61.0,../datasets/Driving/Dataset driving 2.csv,Driving
67.0,53.0,108.0,../datasets/Driving/Dataset driving 2.csv,Driving
55.0,82.0,69.0,../datasets/Driving/Dataset driving 2.csv,Driving
65.0,43.0,49.0,../datasets/Driving/Dataset driving 2.csv,Driving
74.0,36.0,58.0,../datasets/Driving/Dataset driving 2.csv,Driving
99.0,91.0,103.0,../datasets/Driving/Dataset driving 2.csv,Driving
93.0,53.0,54.0,../datasets/Driving/Dataset driving 2.csv,Driving
74.0,51.0,93.0,../datasets/Driving/Dataset driving 2.csv,Driving
60.0,75.0,70.0,../datasets/Driving/Dataset driving 2.csv,Driving
26.0,44.0,63.0,../datasets/Driving/Dataset driving 2.csv,Driving
46.0,32.0,68.0,../datasets/Driving/Dataset driving 2.csv,Driving
72.0,53.0,81.0,../datasets/Driving/Dataset driving 2.csv,Driving
47.0,88.0,62.0,../datasets/Driving/Dataset driving 2.csv,Driving
31.0,25.0,61.0,../datasets/Driving/Dataset driving 2.csv,Driving
65.0,58.0,50.0,../datasets/Driving/Dataset driving 2.csv,Driving
50.0,39.0,45.0,../datasets/Driving/Dataset driving 2.csv,Driving
29.0,62.0,115.0,../datasets/Driving/Dataset driving 2.csv,Driving
44.0,42.0,78.0,../datasets/Driving/Dataset driving 2.csv,Driving
44.0,45.0,66.0,../datasets/Driving/Dataset driving 2.csv,Driving
54.0,54.0,63.0,../datasets/Driving/Dataset driving 2.csv,Driving
42.0,54.0,55.0,../datasets/Driving/Dataset driving 2.csv,Driving
87.0,47.0,79.0,../datasets/Driving/Dataset driving 2.csv,Driving
69.0,38.0,66.0,../datasets/Driving/Dataset driving 2.csv,Driving
59.0,40.0,96.0,../datasets/Driving/Dataset driving 2.csv,Driving
41.0,80.0,72.0,../datasets/Driving/Dataset driving 2.csv,Driving
34.0,28.0,47.0,../datasets/Driving/Dataset driving 2.csv,Driving
59.0,40.0,42.0,../datasets/Driving/Dataset driving 2.csv,Driving
77.0,29.0,45.0,../datasets/Driving/Dataset driving 2.csv,Driving
66.0,44.0,65.0,../datasets/Driving/Dataset driving 2.csv,Driving
60.0,66.0,119.0,../datasets/Driving/Dataset driving 2.csv,Driving
49.0,39.0,73.0,../datasets/Driving/Dataset driving 2.csv,Driving
75.0,90.0,99.0,../datasets/Driving/Dataset driving 2.csv,Driving
72.0,65.0,88.0,../datasets/Driving/Dataset driving 2.csv,Driving
120.0,54.0,107.0,../datasets/Driving/Dataset driving 2.csv,Driving
36.0,40.0,48.0,../datasets/Driving/Dataset driving 2.csv,Driving
61.0,47.0,88.0,../datasets/Driving/Dataset driving 2.csv,Driving
77.0,58.0,126.0,../datasets/Driving/Dataset driving 2.csv,Driving
77.0,55.0,59.0,../datasets/Driving/Dataset driving 2.csv,Driving
169.0,102.0,271.0,../datasets/Driving/Dataset driving 2.csv,Driving
67.0,32.0,68.0,../datasets/Driving/Dataset driving 2.csv,Driving
67.0,46.0,82.0,../datasets/Driving/Dataset driving 2.csv,Driving
84.0,67.0,64.0,../datasets/Driving/Dataset driving 2.csv,Driving
57.0,68.0,51.0,../datasets/Driving/Dataset driving 2.csv,Driving
58.0,55.0,55.0,../datasets/Driving/Dataset driving 2.csv,Driving
71.0,33.0,113.0,../datasets/Driving/Dataset driving 2.csv,Driving
51.0,63.0,110.0,../datasets/Driving/Dataset driving 2.csv,Driving
