X;Y;Z
50;3;16
-41;-7;-14
-64;-4;-28
-53;-2;-25
32;-1;22
60;-8;22
30;-6;15
-21;25;1
-39;-15;-35
-51;1;-17
-4;-6;-4
51;11;34
73;8;39
24;1;-4
-57;-15;-50
-66;4;-18
-32;-9;-9
29;4;11
70;-10;28
34;3;20
-42;17;-6
-46;-14;-43
-50;-1;-1
18;-2;1
60;12;34
44;-6;12
17;6;5
-45;-10;-33
-62;9;-12
-38;-11;-23
46;13;13
82;-17;35
15;-7;16
-59;24;-16
-44;-17;-36
-49;-2;-5
28;8;3
77;3;42
47;-3;24
-16;5;-15
-39;-11;-39
-71;-1;-14
-27;6;-15
62;-11;29
67;14;32
26;-6;14
-61;9;-26
-63;-8;-36
-35;-4;-12
40;8;16
68;2;32
-12;8;0
-68;-8;-38
-65;-8;-24
-1;-2;-8
52;-12;34
68;6;37
9;8;10
-53;-4;-49
-69;4;-25
-15;-6;-9
55;13;31
58;0;26
46;1;10
-41;-2;-15
-65;-3;-26
-52;-7;-21
6;1;2
61;-12;36
50;2;25
11;15;10
-51;-8;-44
-71;1;-25
-15;-5;-13
64;17;40
49;-6;19
47;0;2
-46;-5;-22
-58;-1;-13
-45;-4;-16
9;0;-1
65;-3;37
40;-3;19
-8;9;6
-51;-6;-49
-57;4;-15
-15;-8;-7
72;14;31
47;4;25
42;-3;6
-52;-10;-22
-51;3;-16
-48;-9;-17
12;7;2
73;-7;29
35;-7;14
-16;11;13
-51;-1;-45
-59;-2;-23
5;-1;7
75;20;35
41;-10;13
39;9;7
-57;-13;-31
-70;-2;-17
-40;-10;-16
44;8;8
65;-12;37
26;-7;4
-38;26;-4
-43;-7;-29
-52;-6;-18
25;2;10
60;8;33
53;4;15
5;6;1
-62;-17;-39
-59;2;-12
-22;-6;-8
55;-10;22
60;0;28
6;5;13
-37;11;-26
-58;-4;-20
-34;-9;-22
42;12;28
50;4;24
52;2;9
-18;-2;1
-48;-7;-35
-66;-7;-23
-1;0;-6
57;-20;24
57;10;24
-1;3;20
-48;7;-42
-66;-4;-19
-8;-2;-9
52;10;30
61;1;23
37;-10;11
-39;0;-21
-74;0;-28
-46;-7;-22
42;7;23
51;-8;15
33;-8;14
-39;-7;-43
-63;-3;-13
-7;-2;-8
81;20;47
48;-6;19
16;-1;-1
-64;-18;-44
-55;12;-2
-30;-10;-18
39;3;23
72;-8;24
22;-1;11
-39;23;-2
-56;-12;-44
-44;-4;-18
27;-1;11
74;14;45
33;1;1
-5;-1;-6
-36;-7;-16
-68;-8;-17
-13;6;-11
38;-16;14
68;-6;23
2;6;12
-35;17;-20
-61;-6;-28
-26;-6;-13
50;16;22
49;-9;23
48;-1;7
-23;6;-2
-57;-3;-21
-57;-13;-26
7;13;0
48;-20;28
58;-1;18
-5;15;16
-48;-4;-44
-61;1;-12
-14;-5;-14
55;15;29
49;-1;23
38;-11;3
-25;2;-11
-55;6;-21
-58;-12;-20
15;8;3
55;-28;15
42;3;24
-14;23;9
-35;-3;-42
-60;-4;-3
-4;1;-11
59;17;39
54;-5;16
25;-6;1
-38;-9;-26
-72;1;-15
-34;-3;-18
29;1;12
68;-7;28
28;-5;4
-41;21;7
-44;-8;-39
-47;-4;-12
23;6;8
64;3;29
45;-2;18
18;14;12
-55;-14;-35
-78;-6;-31
-23;-4;-14
48;-10;28
74;1;34
11;6;0
-39;15;-14
-51;-7;-25
-43;-9;-16
38;13;15
55;5;32
51;-5;7
-7;0;15
-41;-5;-35
-68;-5;-26
-21;-3;-2
46;-12;21
57;-7;8
18;10;4
-39;19;-1
-42;-9;-24
-35;-3;-12
24;10;12
53;10;25
50;-2;15
-7;-8;-7
-28;-9;-27
-70;3;-8
-30;-6;-17
35;1;12
58;2;32
29;-8;17
-46;9;-15
-16;-13;-42
-31;12;12
-6;-1;-8
21;-3;8
29;6;16
42;-5;21
-18;4;-1
-1;-13;-24
-67;3;-7
-16;2;-17
29;3;14
50;-10;13
9;5;18
-43;0;-15
2;4;-16
-54;-5;-23
-2;-1;2
43;13;22
54;-5;17
10;-3;-11
18;2;11
-55;-8;-26
-58;-10;-10
-11;8;-5
30;1;23
27;4;10
-30;13;-10
-36;-21;-43
-57;4;-10
-2;0;-7
64;13;36
52;1;22
28;-8;-5
-21;-3;-8
-70;-7;-32
-47;0;-5
5;-1;10
36;-22;0
65;4;42
9;-1;1
-60;10;-33
-6;-11;-10
-41;17;1
-14;9;9
65;-13;17
39;20;7
21;-20;-22
-33;-6;-17
-37;24;4
-35;-17;-28
-8;14;28
55;-14;13
45;3;29
-9;2;15
-44;-6;-44
-35;2;-3
-37;-12;-34
10;17;20
66;4;13
47;28;30
37;-6;10
-47;-21;-31
-92;-1;-27
-30;-11;-19
23;5;21
92;-1;45
34;1;22
-59;11;-27
-37;-13;-30
-41;-9;-24
16;9;11
27;4;10
55;12;26
40;-9;3
-40;-3;-13
-51;3;-12
-55;-21;-23
13;11;11
73;4;32
40;-8;27
-60;-1;-23
-3;-10;-20
-54;7;-21
-7;5;-6
43;4;15
47;3;18
37;-2;23
-9;7;11
-59;-19;-41
-49;1;-22
-7;-1;-3
20;2;11
49;-9;31
19;-6;-7
1;28;20
-48;-9;-59
-54;-2;-3
21;7;5
59;6;28
67;-4;18
-22;-3;-5
-54;-18;-34
-67;1;-13
7;4;3
44;-14;9
51;6;34
30;4;17
-61;3;-53
-52;-3;-8
-30;-2;-15
38;7;17
73;7;33
48;-2;10
-40;9;-10
-62;-23;-30
-56;1;-15
11;2;3
46;-9;25
54;-2;25
19;9;8
-62;6;-44
-41;-1;-12
-35;-7;-21
40;11;20
57;2;29
49;4;24
-20;3;-9
-45;-13;-34
-77;-11;-24
3;8;7
43;-11;12
73;-1;44
8;6;13
-72;1;-49
-38;-1;-11
-20;-3;-11
34;10;20
54;8;14
39;-5;4
-3;6;12
-41;-10;-20
-79;-7;-33
-6;2;0
40;-5;24
85;6;45
-2;-7;-19
-47;14;-28
-38;-6;-8
-47;-6;-18
